specification,n_features,equity_mult_coef,odds_ratio,pr_auc_oof,roc_auc_oof,income_in_model,ci_low,ci_high,boot_n_valid,boot_share_negative
(i) with district dummies,20,-0.13115467976132833,0.8770820970486077,0.4374155984628342,0.9169061285564855,True,-0.926537219519502,0.1433694833205963,1000,0.871
(ii) without district dummies,14,-0.24971695031793023,0.7790212535860315,0.4425933789139619,0.9217454031656624,True,-0.6638890810977143,0.39463929904203515,1000,0.832
(iii) district dummies only (no income),19,,,0.43743314274288586,0.9169013631457429,False,,,0,
