station_id,station_name,operator,latitude,longitude,address,town,postcode,status,total_ports,max_power_kw,district,state,source
459525,CANVAS HOTEL KLANG (Hotel),ChargeSini,2.992799,101.443863,The Canvas Hotel,Klang,41200.0,Operational,4.0,22.0,Klang,Selangor,OCM
274419,KSL AUTOMOBILE ENTERPRISE,(Unknown Operator),3.0320488743881384,101.47225567832491,Lorong 3,Klang,41050.0,Operational,1.0,22.0,Klang,Selangor,OCM
188641,RnR Dengkil Southbound,chargEV,2.9039529017553747,101.61504873781178,RnR Dengkil,Taman Sains Selangor 2,47130.0,Operational,1.0,22.0,Sepang,Selangor,OCM
459521,[Restricted] D'AMAN RESIDENCES (Residential Condo),ChargeSini,2.975389,101.581833,D'Aman Residences,Puchong,47130.0,Operational,2.0,22.0,Sepang,Selangor,OCM
459520,[Restricted] KOI SUITES CONDOMINIUM (Residential Condo),ChargeSini,2.974447,101.579185,Koi Suites Condominium,Puchong,47130.0,Operational,3.0,40.0,Sepang,Selangor,OCM
459517,[Restricted] TASIK RESIDENCY (Residential Condo),ChargeSini,2.963733,101.592911,Tasik Residency,Puchong,47130.0,Operational,4.0,22.0,Sepang,Selangor,OCM
459518,[Restricted] X2 RESIDENCY (BLOCK B) (Residential Condo),ChargeSini,2.965042,101.593376,X2 Residency,Puchong,47130.0,Operational,3.0,40.0,Sepang,Selangor,OCM
265144,IOI Sierra,Shell Recharge (Malaysia),2.973581552505493,101.65482330322266,JLN SIERRA 10/1,Puchong,47110.0,Operational,1.0,11.0,Sepang,Selangor,OCM
459522,[Restricted] DESARIA VILLA CONDOMINIUM (Residential Condo),ChargeSini,2.977706,101.639618,Desaria Villa Condominium,Puchong,47120.0,Operational,4.0,22.0,Sepang,Selangor,OCM
306730,Pulse Grande Hotel Putrajaya by DC Handal,DC Handal,2.9433395118267214,101.6999759271282,Jalan Putra Perdana,Putrajaya,62519.0,Operational,1.0,47.0,WP Putrajaya,W.P. Putrajaya,OCM
459509,[Restricted] TAMARA RESIDENCE TOWER  C (Residential Condo),ChargeSini,2.926,101.679375,Tamara Residence,Putrajaya,62250.0,Operational,2.0,22.0,WP Putrajaya,W.P. Putrajaya,OCM
459511,[Restricted] TAMARA RESIDENCE TOWER A (Residential Condo),ChargeSini,2.927745,101.679329,Tamara Residence,Putrajaya,62250.0,Operational,2.0,22.0,WP Putrajaya,W.P. Putrajaya,OCM
459508,SHAFTSBURY SQUARE (Commercial),ChargeSini,2.922597,101.661896,Shaftsbury Square,Cyberjaya,63000.0,Operational,4.0,22.0,Sepang,Selangor,OCM
57456,Jalan Usahawan 2,Shell Recharge Solutions (BE),2.926689,101.662598,Jalan Usahawan 2,Cyberjaya,63000.0,Operational,2.0,37.0,Sepang,Selangor,OCM
62527,Persiaran Semarak Api,Shell Recharge Solutions (BE),2.93814578683156,101.644753046627,Persiaran Semarak Api,Cyberia,63000.0,Operational,1.0,3.7,Sepang,Selangor,OCM
459510,[Restricted] LAKEFRONT HOMES @ CYBERJAYA (PR1MA) (Residential Condo),ChargeSini,2.92746,101.631958,"Lakefront Homes, Cyberjaya",Cyberjaya,63000.0,Operational,3.0,22.0,Sepang,Selangor,OCM
459513,[Restricted] LAKEFRONT RESIDENCE @ CYBERJAYA (Residential Condo),ChargeSini,2.933997,101.631264,Lakefront Residence @ Cyberjaya,Cyberjaya,63000.0,Operational,5.0,22.0,Sepang,Selangor,OCM
62525,Persiaran APEC,Shell Recharge Solutions (BE),2.90722110779707,101.656301047816,Persiaran APEC,Cyberjaya,63000.0,Operational,2.0,3.7,Sepang,Selangor,OCM
212604,GO TO-U EV Lifestyle Charging Hub @ Rekascape,Go ToU,2.909098501107678,101.65706353519931,Persiaran Apec,Cyberjaya,63000.0,Operational,2.0,120.0,Sepang,Selangor,OCM
459505,HOLIDAY INN SEPANG (Hotel),ChargeSini,2.82035,101.695267,"Holiday Inn Sepang Airport, an IHG Hotel",Sepang,43900.0,Operational,4.0,22.0,Sepang,Selangor,OCM
289617,Petronas KLIA 1 (45kW DC),Jom Charge,2.7643898019282034,101.68310825889164,"Petronas Pt3906, Jalan Terminal",Sepang,43900.0,Operational,1.0,45.0,Sepang,Selangor,OCM
459506,[Restricted] PALMERA RESIDENCE (Residential Condo),ChargeSini,2.877094,101.793533,Palmyra Residence,Kajang,43000.0,Operational,2.0,22.0,Hulu Langat,Selangor,OCM
459507,[Restricted] ALMYRA RESIDENCE (Residential Condo),ChargeSini,2.877916,101.795326,Almyra Residence,Kajang,43000.0,Operational,3.0,22.0,Hulu Langat,Selangor,OCM
