district,population,income_median,weight_population,weight_income_adj
Petaling,2334700,9618,0.27930708586057973,0.26744781315673694
WP Kuala Lumpur,2005700,10234,0.23994784002679778,0.24447507173635455
Hulu Langat,1460300,11210,0.17470002033760423,0.1949713922486474
Klang,1134000,8203,0.1356637835121846,0.11079214259177939
Gombak,966200,10180,0.11558937180729521,0.11714884368161048
Sepang,339200,12608,0.04057950208759526,0.05093604714496576
WP Putrajaya,118800,10056,0.01421239636794315,0.014228689439905573
