name,category,district,latitude,longitude
The Lasus Clinic,healthcare,WP Kuala Lumpur,3.1329261,101.6721958
CIMB Bank,other,Petaling,3.1050691,101.5976136
Public Bank,other,WP Kuala Lumpur,3.1028243,101.6827033
Klinik Dr Bazilah,healthcare,Hulu Langat,2.9608574999999995,101.7540691
Mydin,shopping,WP Kuala Lumpur,3.1527209000000003,101.69709269999998
Maybank,other,Petaling,3.1591795,101.6130424
CIMB Bank,other,WP Kuala Lumpur,3.133033,101.6868329
Maybank,other,WP Kuala Lumpur,3.1330480000000005,101.68684570000002
7-Eleven,shopping,WP Kuala Lumpur,3.0536878999999995,101.66999230000002
7-Eleven,shopping,Petaling,3.1111471,101.6363061
B,other,WP Kuala Lumpur,3.1430137,101.70940029999998
CIMB Bank,other,WP Kuala Lumpur,3.1210084,101.6552204
Jabatan Pengajian Asia Tenggara,education,WP Kuala Lumpur,3.1207063,101.6511872
Polo Ralph Lauren,shopping,Sepang,2.7807359,101.6772386
7-Eleven,shopping,WP Kuala Lumpur,3.1203274,101.7285906
BOC,other,WP Kuala Lumpur,3.1611071,101.716773
TGI Fridays,food_drink,Petaling,3.1489696,101.6163751
Starbucks,food_drink,WP Kuala Lumpur,3.1191988,101.6740676
Public Bank,other,Hulu Langat,3.0251898999999995,101.740958
CIMB Bank,other,Hulu Langat,3.0251551,101.7408226
myNEWS.com,shopping,WP Kuala Lumpur,3.1491186999999994,101.69652499999998
myNEWS.com,shopping,WP Kuala Lumpur,3.1664387,101.6931888
FamilyMart,shopping,WP Kuala Lumpur,3.1664501999999994,101.6930392
HSBC,other,WP Kuala Lumpur,3.2023076,101.6893689
Chatime,food_drink,WP Kuala Lumpur,3.2025513,101.6892871
No. 10 Cafe,food_drink,WP Kuala Lumpur,3.1813973,101.6917925
KK Super Mart,shopping,WP Kuala Lumpur,3.1321911,101.6731191
Surau,community,Sepang,2.7589313,101.7321043
Kossan International Sdn Bhd/R&D Centre,work,Klang,3.1126564,101.4393387
CIMB Bank,other,WP Kuala Lumpur,3.1661586,101.6919573
Flight club,food_drink,Sepang,2.7476888999999995,101.7136131
Starbucks,food_drink,WP Kuala Lumpur,3.1554003,101.6951797
Starbucks,food_drink,WP Kuala Lumpur,3.1554175999999994,101.695524
7-Eleven,shopping,WP Kuala Lumpur,3.1473686,101.7118602
