h3_index,district,lat,lon,pop_est,activity_score,pop_n,act_n,equity_mult,demand_pressure,supply_raw,supply_n,supply_gap,nearest_station_km,stations_2km,stations_5km,cdi
88650542b7fffff,Gombak,3.244925949290787,101.81852360251325,0.0,0.0,0.0,0.0,1.0,0.0,0.01593863412109081,0.0009323303933652322,0.9990676696066347,8.13,0,0,0.0
8865054e59fffff,Gombak,3.3022477872659315,101.7832684945779,0.0,0.0,0.0,0.0,1.0,0.0,0.005025092889177753,0.00029394280554219095,0.9997060571944578,9.89,0,0,0.0
8865057853fffff,Gombak,3.3261747329079214,101.58261000394101,2507.439446366782,11.6,0.10443153532577003,0.039170662524481654,1.0,0.07180109892512584,0.8219593524942799,0.04808051183176145,0.9519194881682386,0.71,1,2,6.010980080539165
8865057851fffff,Gombak,3.325455357575781,101.59156315892649,2507.439446366782,1.0,0.10443153532577003,0.0033767812521104876,1.0,0.053904158288940254,0.5891481226204387,0.034462219079755746,0.9655377809202442,1.46,1,2,4.577259351512816
8865057a5dfffff,Gombak,3.2681150126526384,101.62687688131761,0.0,0.0,0.0,0.0,1.0,0.0,0.5609179280042332,0.03281089386259199,0.967189106137408,3.29,0,5,0.0
8865054c51fffff,Gombak,3.3669572741422864,101.75318427521005,0.0,0.0,0.0,0.0,1.0,0.0,0.00020025930742854204,1.1714168068068033e-05,0.9999882858319319,14.52,0,0,0.0
8865054e19fffff,Gombak,3.3191437276228797,101.76680179042842,0.0,0.0,0.0,0.0,1.0,0.0,0.003217743163401044,0.00018822188441556793,0.9998117781155844,10.2,0,0,0.0
8865054739fffff,Gombak,3.2337923297277227,101.76343107667817,0.0,0.0,0.0,0.0,1.0,0.0,0.514820188498502,0.030114406617818907,0.969885593382181,3.24,0,5,0.0
8865057a99fffff,Gombak,3.2826693713890336,101.54254350007791,2507.439446366782,14.8,0.10443153532577003,0.04997636253123522,1.0,0.07720394892850263,1.1742971254451502,0.06869050964945608,0.9313094903505439,0.27,1,5,6.323354397839703
8865056063fffff,Gombak,3.313402588330069,101.45063583139603,0.0,0.0,0.0,0.0,1.0,0.0,0.08526415513644525,0.004987526703629216,0.9950124732963708,3.97,0,1,0.0
8865057a3dfffff,Gombak,3.3078374959705625,101.61700071757271,0.0,0.0,0.0,0.0,1.0,0.0,0.32095214647602555,0.018774095615850018,0.98122590438415,2.2,0,2,0.0
88650578cdfffff,Gombak,3.335703870896597,101.56093466378543,1671.6262975778548,3.1,0.06962102355051336,0.010468021881542512,1.0,0.04004452271602794,0.4166364275957478,0.02437114758262889,0.9756288524173711,2.63,0,3,3.435909661093967
