name,latitude,longitude,poi_type,category,district,state
Anytime Fitness,3.1329473,101.6299691,fitness_centre,exercise,WP Kuala Lumpur,W.P. Kuala Lumpur
UOB,3.0449557,101.7413491,bank,other,Hulu Langat,Selangor
Kafe Hero,3.026196599999999,101.7330964,restaurant,food_drink,Hulu Langat,Selangor
Klinik Selva,3.0267431999999994,101.7331525,clinic,healthcare,Hulu Langat,Selangor
B & S Hardware Trading,3.0262777999999995,101.7330976,hardware,other,Hulu Langat,Selangor
7-Eleven,3.0260158999999995,101.7330644,convenience,shopping,Hulu Langat,Selangor
HOPC,3.0283509,101.7340365,pitch,exercise,Hulu Langat,Selangor
Hyprground,3.0274912,101.7344774,pitch,exercise,Hulu Langat,Selangor
Double Bounce,3.0268405000000005,101.73450739999998,pitch,exercise,Hulu Langat,Selangor
Guardian,3.0457204,101.7395679,pharmacy,healthcare,Hulu Langat,Selangor
ZUS Coffee,3.045816499999999,101.7395862,cafe,food_drink,Hulu Langat,Selangor
CU,3.0459183,101.7393171,convenience,shopping,Hulu Langat,Selangor
Mixue,3.0461847,101.739766,cafe,food_drink,Hulu Langat,Selangor
Chuan Kee Canteen,3.0469113000000005,101.74005669999998,restaurant,food_drink,Hulu Langat,Selangor
BB Sun Kee Restaurant,3.0454066000000006,101.74275389999998,restaurant,food_drink,Hulu Langat,Selangor
Chuen Jia Noodle House,3.0451546000000005,101.7427753,restaurant,food_drink,Hulu Langat,Selangor
