name,latitude,longitude,poi_type,category,district,state
Famous Bistro Cafe 2,2.9157020000000005,101.6494371,restaurant,food_drink,Sepang,Selangor
Elixir,3.140782899999999,101.7212651,nightclub,other,WP Kuala Lumpur,W.P. Kuala Lumpur
Bang Bang,3.1412241,101.7214163,bar,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Red Alert,3.1402399,101.72120479999998,bar,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Amber,3.140461699999999,101.7211476,nightclub,other,WP Kuala Lumpur,W.P. Kuala Lumpur
K-Bar,3.140425,101.72113729999998,bar,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Red Room,3.1409606999999995,101.7214508,bar,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
ARTE Bar,3.1407575000000003,101.72138,bar,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Euronet,3.141382,101.72143509999998,atm,other,WP Kuala Lumpur,W.P. Kuala Lumpur
Face3,3.1410544,101.721377,bar,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Chupitos,3.1411530000000005,101.72140039999998,bar,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Crush,3.1411314000000004,101.7213954,bar,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
404 Club Not Found,3.1412965,101.72159089999998,nightclub,other,WP Kuala Lumpur,W.P. Kuala Lumpur
Reggae Bar & TRAK,3.1409101999999995,101.72143549999998,bar,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Swipe,3.1410381,101.7214767,bar,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
The China Bar,3.1403046999999997,101.7211119,bar,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Le Club,3.1419205000000003,101.7215216,nightclub,other,WP Kuala Lumpur,W.P. Kuala Lumpur
Kuna,3.1405255,101.7211868,bar,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Hungry Lion,3.1409547999999994,101.7213339,bar,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
V12 Club,3.1411154,101.7215033,nightclub,other,WP Kuala Lumpur,W.P. Kuala Lumpur
BoomShake,3.1404974999999995,101.7212888,bar,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
BoomBoxx3,3.1402251,101.72111030000002,nightclub,other,WP Kuala Lumpur,W.P. Kuala Lumpur
Anakron,3.1402098999999994,101.72119910000002,bar,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
La Meraa,3.1410871000000005,101.7214931,bar,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Nanostix Lounge,3.1401446,101.7211005,bar,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Zest,3.1415308,101.7215374,bar,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Spade,3.1403482,101.7212436,nightclub,other,WP Kuala Lumpur,W.P. Kuala Lumpur
Spark Club KL,3.1418075999999995,101.7215107,nightclub,other,WP Kuala Lumpur,W.P. Kuala Lumpur
The Steak Empire,3.1397581,101.7212708,restaurant,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Noble Knight,3.1394744,101.7216267,bar,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Jupiter,3.1397968000000005,101.7211096,nightclub,other,WP Kuala Lumpur,W.P. Kuala Lumpur
Retro Tapas Bar Cafe,3.1397733,101.72115979999998,bar,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Beer Can Thin x Tea Can Thin,3.141239699999999,101.72155030000002,pub,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Project X,3.1409785,101.72145609999998,bar,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Secret,3.1407904,101.7213947,bar,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Coabana Lounge,3.1412000999999994,101.7214154,bar,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Bloom Club,3.1410776999999994,101.72138459999998,bar,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Oversea Seafood KL,3.141695,101.7214795,restaurant,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Lachér to-go,3.1509694,101.719849,cafe,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
kyō,3.1553457,101.71204179999998,nightclub,other,WP Kuala Lumpur,W.P. Kuala Lumpur
Unknown,3.1367115999999995,101.4287049,place_of_worship,community,Klang,Selangor
Unknown,3.1358616999999995,101.425561,place_of_worship,community,Klang,Selangor
ST Rosyam Mart,3.0235772,101.4788491,supermarket,shopping,Klang,Selangor
US Pizza,3.023919,101.47907159999998,fast_food,food_drink,Klang,Selangor
Kenny Hills Bakers,2.9689294000000004,101.7173737,cafe,food_drink,Sepang,Selangor
Cube Bistro,2.9229169,101.6512434,restaurant,food_drink,Sepang,Selangor
Jaya Grocer,3.2242069999999994,101.7311161,supermarket,shopping,WP Kuala Lumpur,W.P. Kuala Lumpur
Domino's,3.0628368,101.46847289999998,fast_food,food_drink,Klang,Selangor
Mixue,3.1306823,101.4404214,cafe,food_drink,Klang,Selangor
ZUS Coffee,3.1311436,101.4403707,cafe,food_drink,Klang,Selangor
Tealive,3.1310811,101.44037369999998,cafe,food_drink,Klang,Selangor
99 Speedmart,3.1357735000000004,101.4178531,supermarket,shopping,Klang,Selangor
7-Eleven,3.1357735000000004,101.4188014,convenience,shopping,Klang,Selangor
Marrybrown,3.1370262,101.3740662,fast_food,food_drink,Klang,Selangor
Guardian,3.1383355,101.3719878,pharmacy,healthcare,Klang,Selangor
Prayer Room,3.1512569,101.6844238,place_of_worship,community,WP Kuala Lumpur,W.P. Kuala Lumpur
WEDRINK,3.1186223000000006,101.7605247,cafe,food_drink,Hulu Langat,Selangor
KK Super Mart,3.1113305,101.7645966,convenience,shopping,Hulu Langat,Selangor
MK Cafe & Restaurant,3.16398,101.5743439,restaurant,food_drink,Petaling,Selangor
FamilyMart,2.8006167,101.6856921,convenience,shopping,Sepang,Selangor
KFC,2.8061204,101.7159886,fast_food,food_drink,Sepang,Selangor
7-Eleven,2.8061145999999995,101.7159017,convenience,shopping,Sepang,Selangor
Pizza Hut,2.8061104,101.715608,restaurant,food_drink,Sepang,Selangor
FamilyMart,2.8114842,101.7372458,convenience,shopping,Sepang,Selangor
Maybank,2.811482,101.73732479999998,bank,other,Sepang,Selangor
Tealive,2.8114842,101.7374049,cafe,food_drink,Sepang,Selangor
7-Eleven,2.8114764999999995,101.73788209999998,convenience,shopping,Sepang,Selangor
Bank Simpanan Nasional,2.8114842,101.738028,bank,other,Sepang,Selangor
Tealive,2.9233812999999995,101.6609432,cafe,food_drink,Sepang,Selangor
myNEWS.com,2.9234361,101.6613549,convenience,shopping,Sepang,Selangor
ZUS Coffee,2.9234377999999994,101.66126509999998,cafe,food_drink,Sepang,Selangor
Subway,2.923401899999999,101.6624359,fast_food,food_drink,Sepang,Selangor
Secret Recipe,2.9232551,101.66309069999998,fast_food,food_drink,Sepang,Selangor
KK Super Mart,2.9134753999999994,101.6549868,convenience,shopping,Sepang,Selangor
Kedai Elektrik Raja,3.1791157999999995,101.6923316,electronics,shopping,WP Kuala Lumpur,W.P. Kuala Lumpur
Restoran Omar Bahagia,3.1666026,101.7308242,restaurant,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Warung 9 Kupang,3.1650963,101.7326697,restaurant,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Caltex Bandar Bukit Raja,3.0880076,101.43294280000002,fuel,transport,Klang,Selangor
FamilyMart,3.0882201,101.4329252,convenience,shopping,Klang,Selangor
Flora Terrace,3.1629282999999995,101.7164679,restaurant,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Tatto,3.1628608,101.7164423,restaurant,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Mah Sing,3.124861999999999,101.7095435,company,work,WP Kuala Lumpur,W.P. Kuala Lumpur
Tasty Porridge,3.2119579,101.6483471,restaurant,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
Kita Kids,3.1604302,101.7135486,kindergarten,education,WP Kuala Lumpur,W.P. Kuala Lumpur
Maybank,3.1251581,101.7097037,bank,other,WP Kuala Lumpur,W.P. Kuala Lumpur
Trikora by Roofdeck,3.1353658,101.7167546,bar,food_drink,WP Kuala Lumpur,W.P. Kuala Lumpur
7-Eleven,3.1259898,101.709667,convenience,shopping,WP Kuala Lumpur,W.P. Kuala Lumpur
Sri Sivan Temple,3.126181799999999,101.7109268,place_of_worship,community,WP Kuala Lumpur,W.P. Kuala Lumpur
Beacon Mart,3.2105181,101.6508625,supermarket,shopping,WP Kuala Lumpur,W.P. Kuala Lumpur
Medplus,3.2108848999999995,101.6502241,pharmacy,healthcare,WP Kuala Lumpur,W.P. Kuala Lumpur
