month,national_ev,kv_central,kv_low,kv_high
2020-01-01,5,3.1427836320989644,2.75,3.5
2020-02-01,5,3.1427836320989644,2.75,3.5
2020-03-01,3,1.8856701792593786,1.6500000000000001,2.0999999999999996
2020-05-01,1,0.6285567264197929,0.55,0.7
2020-06-01,3,1.8856701792593786,1.6500000000000001,2.0999999999999996
2020-07-01,4,2.5142269056791715,2.2,2.8
2020-08-01,1,0.6285567264197929,0.55,0.7
2020-09-01,8,5.028453811358343,4.4,5.6
2020-10-01,17,10.68546434913648,9.350000000000001,11.899999999999999
2020-11-01,16,10.056907622716686,8.8,11.2
2020-12-01,8,5.028453811358343,4.4,5.6
2021-01-01,6,3.7713403585187573,3.3000000000000003,4.199999999999999
2021-02-01,14,8.7997941698771,7.700000000000001,9.799999999999999
2021-03-01,24,15.085361434075029,13.200000000000001,16.799999999999997
2021-04-01,24,15.085361434075029,13.200000000000001,16.799999999999997
2021-05-01,32,20.113815245433372,17.6,22.4
2021-06-01,1,0.6285567264197929,0.55,0.7
2021-07-01,12,7.5426807170375145,6.6000000000000005,8.399999999999999
2021-08-01,58,36.45629013234799,31.900000000000002,40.599999999999994
2021-09-01,41,25.770825783211507,22.55,28.7
2021-10-01,23,14.456804707655236,12.65,16.099999999999998
2021-11-01,13,8.171237443457308,7.15,9.1
2021-12-01,9,5.657010537778136,4.95,6.3
2022-01-01,12,7.5426807170375145,6.6000000000000005,8.399999999999999
2022-02-01,37,23.256598877532337,20.35,25.9
2022-03-01,119,74.79825044395535,65.45,83.3
2022-04-01,249,156.51062487852843,136.95000000000002,174.29999999999998
2022-05-01,134,84.22660134025224,73.7,93.8
2022-06-01,154,96.7977358686481,84.7,107.8
2022-07-01,156,98.0548493214877,85.80000000000001,109.19999999999999
2022-08-01,199,125.08278855753878,109.45,139.29999999999998
2022-09-01,474,297.93588832298184,260.70000000000005,331.79999999999995
2022-10-01,327,205.53804953927227,179.85000000000002,228.89999999999998
2022-11-01,422,265.2509385491526,232.10000000000002,295.4
2022-12-01,846,531.7589905511447,465.3,592.1999999999999
2023-01-01,365,229.4232051432244,200.75000000000003,255.49999999999997
2023-02-01,481,302.33578540792035,264.55,336.7
2023-03-01,926,582.0435286647282,509.30000000000007,648.1999999999999
2023-04-01,681,428.047130691879,374.55,476.7
2023-05-01,1074,675.0699241748575,590.7,751.8
2023-06-01,882,554.3870327022573,485.1,617.4
2023-07-01,937,588.9576526553459,515.35,655.9
2023-08-01,1144,719.068895024243,629.2,800.8
2023-09-01,898,564.443940324974,493.90000000000003,628.5999999999999
2023-10-01,1372,862.3798286479558,754.6,960.4
2023-11-01,1558,979.2913797620373,856.9000000000001,1090.6
2023-12-01,2983,1874.9847149102422,1640.65,2088.1
2024-01-01,1403,881.8650871669694,771.6500000000001,982.0999999999999
2024-02-01,1026,644.8992013067075,564.3000000000001,718.1999999999999
2024-03-01,2260,1420.538201708732,1243.0,1582.0
2024-04-01,1609,1011.3477728094467,884.95,1126.3
2024-05-01,2453,1541.8496499077519,1349.15,1717.1
2024-06-01,1912,1201.800460914644,1051.6000000000001,1338.3999999999999
2024-07-01,1884,1184.2008725748897,1036.2,1318.8
2024-08-01,1774,1115.0596326687125,975.7,1241.8
2024-09-01,1513,951.0063270731466,832.1500000000001,1059.1
2024-10-01,1569,986.205503752655,862.95,1098.3
2024-11-01,1805,1134.544891187726,992.7500000000001,1263.5
2024-12-01,2581,1622.3049108894854,1419.5500000000002,1806.6999999999998
2025-01-01,1691,1062.8894243758698,930.0500000000001,1183.6999999999998
2025-02-01,2160,1357.6825290667525,1188.0,1512.0
2025-03-01,2976,1870.5848178253036,1636.8000000000002,2083.2
2025-04-01,2892,1817.786052806041,1590.6000000000001,2024.3999999999999
2025-05-01,4152,2609.76752809498,2283.6000000000004,2906.3999999999996
2025-06-01,3272,2056.637608845562,1799.6000000000001,2290.3999999999996
2025-07-01,2792,1754.9303801640617,1535.6000000000001,1954.3999999999999
2025-08-01,3461,2175.434830138903,1903.5500000000002,2422.7
2025-09-01,3532,2220.0623577147085,1942.6000000000001,2472.3999999999996
2025-10-01,4345,2731.078976294,2389.75,3041.5
2025-11-01,5417,3404.891787016018,2979.3500000000004,3791.8999999999996
2025-12-01,8123,5105.766288707978,4467.650000000001,5686.099999999999
2026-01-01,6239,3921.5654161330876,3431.4500000000003,4367.299999999999
2026-02-01,3635,2284.803700535947,1999.2500000000002,2544.5
2026-03-01,4717,2964.902078522163,2594.3500000000004,3301.8999999999996
