scenario,cum_pop_share,cum_access_share
current,0.0,0.0
current,0.00029117398590355556,4.18952740147061e-10
current,0.00043676097885533334,9.389238547633132e-10
current,0.0005823479718071111,1.494243269876194e-09
current,0.0010191089506624445,3.2894452334363313e-09
current,0.0011646959436142222,4.1689167265049496e-09
current,0.001310282936566,5.1236928781011185e-09
current,0.0014558699295177777,6.131453119005115e-09
current,0.0016014569224695554,7.756562158011441e-09
current,0.0017470439154213331,9.500800613992436e-09
current,0.0020382179013248886,1.3135965618866095e-08
current,0.0021838048942766663,1.4974160036792263e-08
current,0.0022609522366485203,1.6424572404934343e-08
current,0.002406539229600298,1.9413362818184828e-08
current,0.0028433002084556312,2.891757799610419e-08
current,0.0031344741943591867,3.542817445243402e-08
current,0.003425648180262742,4.625792008360132e-08
current,0.00357123517321452,5.1725292052164275e-08
current,0.0037168221661662976,5.738844136382983e-08
current,0.004007996152069853,6.882099446508301e-08
current,0.0042991701379734085,8.0388597836575e-08
current,0.004444757130925186,9.017531715856871e-08
current,0.004735931116828742,1.1009951893482704e-07
current,0.004881518109780519,1.2028166193596307e-07
current,0.005609453074539408,1.7146157767331364e-07
current,0.0056866004169112624,1.77694432053597e-07
current,0.005763747759283117,1.850659543806105e-07
current,0.006054921745186672,2.1567051324267407e-07
current,0.006132069087558527,2.2400006791651257e-07
current,0.006714417059365638,2.901537086900517e-07
current,0.006860004052317415,3.0685729708710487e-07
current,0.007151178038220971,3.40282695662075e-07
current,0.007296765031172749,3.5801780200031927e-07
current,0.00787911300297986,4.306911975462823e-07
current,0.008170286988883415,4.671516544861646e-07
current,0.00846146097478697,5.112690725826895e-07
current,0.008500034645972897,5.171866801444919e-07
current,0.008645621638924674,5.452895521051948e-07
current,0.008791208631876452,5.757982802383222e-07
current,0.00893679562482823,6.063537467526173e-07
current,0.009373556603683563,7.021030980226575e-07
current,0.009664730589587119,7.663534022498779e-07
current,0.009741877931958973,7.848550567453226e-07
current,0.00980527380971693,8.019734428169422e-07
current,0.009950860802668708,8.484799808974469e-07
current,0.010028008145040563,8.745702992980886e-07
current,0.010610356116847674,1.0755361228592174e-06
current,0.010755943109799451,1.127257329686478e-06
current,0.010794516780985378,1.141274299009056e-06
current,0.010940103773937155,1.195428571208207e-06
current,0.011085690766888933,1.2508148832857826e-06
current,0.011376864752792488,1.3647198620668102e-06
current,0.011668038738696044,1.4960924078867995e-06
current,0.011768029544757717,1.5436824624658144e-06
current,0.01220479052361305,1.7629457613497168e-06
current,0.012350377516564828,1.8382759404652983e-06
current,0.012641551502468384,1.999775411636082e-06
current,0.012787138495420161,2.085960534154891e-06
current,0.013078312481323717,2.2622931582843823e-06
current,0.013369486467227272,2.448672532180826e-06
current,0.01351507346017905,2.543390974393326e-06
current,0.013806247446082606,2.742965873629923e-06
current,0.014097421431986161,2.942865221441519e-06
current,0.014243008424937939,3.056449781616713e-06
current,0.014369800180453854,3.1611089685841127e-06
current,0.014660974166357409,3.413666698155856e-06
current,0.014806561159309187,3.5464457360523305e-06
current,0.015388909131116298,4.109360694248532e-06
current,0.015427482802302224,4.147648919398414e-06
current,0.015573069795254002,4.297975428703697e-06
current,0.01586424378115756,4.60061137760864e-06
current,0.01600983077410934,4.7597534937541815e-06
current,0.016048404445295265,4.804178740280482e-06
current,0.016193991438247044,4.976532190110908e-06
current,0.0164851654241506,5.357920285032763e-06
current,0.01663075241710238,5.54894035699794e-06
current,0.017649861367764825,7.119833341337622e-06
current,0.017795448360716604,7.348550619059796e-06
current,0.01808662234662016,7.82282350257901e-06
current,0.01823220933957194,8.061772338996654e-06
current,0.018523383325475495,8.544129359049815e-06
current,0.018600530667847347,8.672829281943294e-06
current,0.018663926545605305,8.783424859916283e-06
current,0.018809513538557084,9.043608445127245e-06
current,0.01982862248921953,1.0875449165276635e-05
current,0.01997420948217131,1.1150605655349633e-05
current,0.020265383468074865,1.1713984818112975e-05
current,0.020410970461026644,1.2006436591423192e-05
current,0.020474366338784602,1.2134037450014594e-05
current,0.020911127317639937,1.3031497415703668e-05
current,0.021056714310591716,1.3342464936422153e-05
current,0.02134788829649527,1.3994978670633591e-05
current,0.021386461967681198,1.408700970770281e-05
current,0.021532048960632977,1.4506220085418658e-05
current,0.021677635953584757,1.4929021676923657e-05
current,0.021804427709100672,1.530159506393194e-05
current,0.02195001470205245,1.575121970077896e-05
current,0.022076806457568366,1.6159235993400398e-05
current,0.02237677887575339,1.715281885177839e-05
current,0.02252236586870517,1.7638078016820112e-05
current,0.02266795286165695,1.8137870193931645e-05
current,0.022959126847560504,1.9150658675170716e-05
current,0.02299770051874643,1.929000044877869e-05
current,0.02314328751169821,1.9851601520479805e-05
current,0.023270079267214125,2.0369363193211387e-05
current,0.023415666260165904,2.097897950555449e-05
current,0.023479062137923862,2.125717767121219e-05
current,0.02362464913087564,2.190802640761421e-05
current,0.023915823116779197,2.32975837457584e-05
current,0.023979218994537154,2.36041828732514e-05
current,0.024124805987488934,2.4336707048947462e-05
current,0.024270392980440713,2.5082408825512263e-05
current,0.02456156696634427,2.6617386917845527e-05
current,0.024707153959296048,2.738789606317512e-05
current,0.02486440906636001,2.8226790339117685e-05
current,0.02494155640873186,2.864649962302604e-05
current,0.025068348164247776,2.934627277724394e-05
current,0.02514549550661963,2.9787721219123775e-05
current,0.025291082499571408,3.062092885685442e-05
current,0.025354478377329365,3.098471731500157e-05
current,0.02595442321369941,3.443753470849709e-05
current,0.026144610846973282,3.555703707524176e-05
current,0.02629019783992506,3.64323020586342e-05
current,0.026416989595440976,3.7205996336589255e-05
current,0.026562576588392756,3.810041943213983e-05
current,0.02685375057429631,3.99503078520384e-05
current,0.02723412584084406,4.237732479534908e-05
current,0.02737971283379584,4.332347229687596e-05
current,0.027525299826747618,4.427051781533131e-05
current,0.027670886819699397,4.524443869794941e-05
current,0.027962060805602953,4.719377470363293e-05
current,0.028107647798554732,4.818598513073346e-05
current,0.02817104367631269,4.863706496181257e-05
current,0.028234439554070647,4.9093018774718345e-05
current,0.0283115868964425,4.9660014059212584e-05
current,0.028350160567628426,4.994793220797408e-05
current,0.02865013298581345,5.2209232087461074e-05
current,0.028713528863571407,5.2691627983054474e-05
current,0.028859115856523187,5.37994412154702e-05
current,0.029004702849474966,5.492918523524265e-05
current,0.02913149460499088,5.5923766237376106e-05
current,0.02919489048274884,5.643471903341438e-05
current,0.02927203782512069,5.706439653249916e-05
current,0.029572010243305715,5.9619754596665236e-05
current,0.029635406121063673,6.017345325923881e-05
current,0.02969880199882163,6.0734488395597177e-05
current,0.02984438899177341,6.202310334421264e-05
current,0.03042673696358052,6.71890984235292e-05
current,0.0305723239565323,6.850002397482294e-05
current,0.03071791094948408,6.981855331593e-05
current,0.03090809858275795,7.154959017544184e-05
current,0.031098286216031824,7.328253485531518e-05
current,0.03116168209378978,7.387418619778082e-05
current,0.03130726908674156,7.52820060382418e-05
current,0.03138441642911341,7.602984553638443e-05
current,0.03144781230687137,7.665262286260909e-05
current,0.03152495964924322,7.74234521817621e-05
current,0.03177854316027505,7.998106635246822e-05
current,0.0318556905026469,8.076247794878698e-05
current,0.03198248225816282,8.206832150193823e-05
current,0.032682417900594535,8.943489271714635e-05
current,0.032828004893546314,9.096817765512145e-05
current,0.032973591886498094,9.252038062905992e-05
current,0.033163779519771966,9.457339377686787e-05
current,0.036036210890710546,0.000125888109030766
current,0.036181797883662326,0.00012752097620966166
current,0.03872207070542369,0.00015635976000656946
current,0.03886765769837547,0.000158033988618192
current,0.03901324469132725,0.00015972598840763725
current,0.0390903920336991,0.00016062978475892337
current,0.03915378791145706,0.00016137431070985597
current,0.03988172287621595,0.00016994819445315004
current,0.039945118753973906,0.00017072250083799323
current,0.040090705746925685,0.00017250746324158457
current,0.04016785308929754,0.00017348445388467657
current,0.040206426760483464,0.00017398079671913144
current,0.04032214777404124,0.00017547951011954855
current,0.040399295116413096,0.0001764887197340224
current,0.04058948274968697,0.00017902625303978478
current,0.04073506974263875,0.0001809698943605999
