set,description,n_features,pr_auc_random_cv,pr_auc_spatial_cv,roc_auc_random_cv,precision@50_random_cv,random_baseline,gain_vs_C
A,population + equity only,2,0.201186611559941,0.2021414529068573,0.8149316997505307,0.24,0.055458406195353485,-0.2806083508248046
B,A + activity score,3,0.2970264933551141,0.27245458144605017,0.8766026672003927,0.44,0.055458406195353485,-0.1847684690296315
C,B + 11 POI counts  [INFERENCE SET],14,0.4817949623847456,0.48553877016887603,0.9323859696776914,0.66,0.055458406195353485,0.0
D,C + lat/lon + district dummies  [PREDICTION SET],22,0.49440200738619816,0.4899723735683304,0.9361202646709127,0.64,0.055458406195353485,0.012607045001452544
E,C + spatial lag (6-neighbour mean act & pop),16,0.4808740932405736,0.4808963318085213,0.9337631733823216,0.64,0.055458406195353485,-0.0009208691441719985
F,C + commercial/residential ratio + POI diversity,16,0.4902349888285843,0.4846954186524679,0.9322513468242111,0.7,0.055458406195353485,0.008440026443838677
G,C + distance to KLCC,15,0.48474194083303973,0.4847625753405298,0.9332336171135431,0.66,0.055458406195353485,0.002946978448294113
H,C + all engineered (E+F+G),19,0.48575455947822815,0.48639893671455126,0.9337405376812942,0.66,0.055458406195353485,0.003959597093482536
