ds,policy_cap,policy_lo,policy_hi,accel_cap,actual
2020-01-01,0.0,0.0,397.91425294704044,0.0,3.1427836320989644
2020-02-01,0.0,0.0,177.27910213690754,0.0,3.1427836320989644
2020-03-01,158.6661608038987,0.0,550.5081257342061,175.61098614173073,1.8856701792593784
2020-05-01,186.64201425078596,0.0,609.853960385973,195.55442684108806,0.6285567264197929
2020-06-01,0.0,0.0,371.74824029643906,0.0,1.8856701792593784
2020-07-01,0.0,0.0,313.124684523612,0.0,2.5142269056791715
2020-08-01,0.0,0.0,320.06386368006827,0.0,0.6285567264197929
2020-09-01,0.0,0.0,297.9576247431548,0.0,5.028453811358343
2020-10-01,0.0,0.0,396.7750574063954,2.5610060346985932,10.68546434913648
2020-11-01,127.9731329341142,0.0,540.732387445953,130.12073617601723,10.056907622716686
2020-12-01,447.2557725813754,36.985856215538746,869.2543452273985,459.66292391555305,5.028453811358343
2021-01-01,49.28685069519447,0.0,435.6994901582143,35.301138920028755,3.771340358518757
2021-02-01,0.0,0.0,157.37131477147864,0.0,8.7997941698771
2021-03-01,93.60679133322213,0.0,531.7112609869849,92.52419676190516,15.085361434075027
2021-04-01,0.0,0.0,411.8051668672116,3.374371273036715,15.085361434075027
2021-05-01,230.14015100870876,0.0,664.5773340372019,250.05135778141778,20.11381524543337
2021-06-01,20.57248898172233,0.0,455.13260624019506,39.129292755852305,0.6285567264197929
2021-07-01,0.0,0.0,393.35411706718844,0.0,7.542680717037514
2021-08-01,0.0,0.0,403.68943140123207,15.281550849859016,36.45629013234799
2021-09-01,0.0,0.0,352.9451234782113,0.0,25.770825783211507
2021-10-01,27.809627885130027,0.0,426.0541080197953,48.54143758109767,14.456804707655236
2021-11-01,153.95421698833945,0.0,586.9167822550053,171.18648421340578,8.171237443457308
2021-12-01,643.3631087860205,234.59117409870757,1048.1187055094815,660.0507428617991,5.657010537778136
2022-01-01,121.64989155308533,0.0,548.0364261400263,130.94131351555995,7.542680717037514
2022-02-01,0.0,0.0,256.98725222815824,0.0,23.256598877532337
2022-03-01,87.9303918201688,0.0,514.1820354061765,70.61279945935792,74.79825044395535
2022-04-01,140.1101253759717,0.0,564.2426700405041,176.7185250019332,156.51062487852843
2022-05-01,342.12316482624453,0.0,741.5910980354554,374.05002412271074,84.22660134025224
2022-06-01,170.222572518991,0.0,606.4587740420587,213.0014344229218,96.7977358686481
2022-07-01,88.22088002567082,0.0,502.653964920914,118.75478356749619,98.0548493214877
2022-08-01,145.17312542567112,0.0,574.885132181436,179.88943017941688,125.08278855753878
2022-09-01,60.4568080967816,0.0,464.52173226538076,99.04715451900597,297.93588832298184
2022-10-01,167.3899133693851,0.0,574.1234413253742,189.73449358606743,205.5380495392723
2022-11-01,288.4041199437191,0.0,711.8199140925487,315.5607046335987,265.2509385491526
2022-12-01,953.643126755321,534.5292952278206,1350.502682991281,968.3276200829087,531.7589905511447
2023-01-01,314.83536778666,0.0,759.0954352020096,339.7653117120134,229.4232051432244
2023-02-01,101.35679866818322,0.0,514.270720649064,131.562583078861,302.33578540792035
2023-03-01,223.1140484910882,0.0,667.7712195499928,177.9507323412194,582.0435286647282
